Policy,pvfp_mgr_central,pv_liab_mgr_central,pvfp_mgr_lup,pv_liab_mgr_lup,pvfp_mgr_ldw,pv_liab_mgr_ldw,pvfp_mgr_mort,pv_liab_mgr_mort,pvfp_mgr_long,pv_liab_mgr_long,pvfp_mgr_cat,pv_liab_mgr_cat,pvfp_mgr_lmass,pv_liab_mgr_lmass,pvfp_central,pv_liab_central,pvfp_lup,pv_liab_lup,pvfp_ldw,pv_liab_ldw,pvfp_mort,pv_liab_mort,pvfp_long,pv_liab_long,pvfp_cat,pv_liab_cat,pvfp_lmass,pv_liab_lmass,Fund_Name,choc_mort,choc_long,choc_lup,choc_ldw,choc_lmass,choc_cat,choc_mort_mgr,choc_long_mgr,choc_lup_mgr,choc_ldw_mgr,choc_lmass_mgr,choc_cat_mgr
LCVI0951293,82.58492737801271,-56319.09311321843,100.4971945765092,-56286.53619586094,64.63166496333133,-56351.66444620472,79.31453359915713,-56321.22033589624,86.94499068707273,-56316.25707062255,82.55501857316995,-56319.11244402615,809.0321973269108,-54857.90995547571,82.58492737801271,-56319.09311321843,100.4971945765092,-56286.53619586094,64.63166496333133,-56351.66444620472,79.31453359915713,-56321.22033589624,86.94499068707273,-56316.25707062255,82.55501857316995,-56319.11244402615,809.0321973269108,-54857.90995547571,LXCLA,2.1272226778164622,0.0,0.0,32.571332986291964,0.0,0.01933080772141693,2.1272226778164622,0.0,0.0,32.571332986291964,0.0,0.01933080772141693
LCVI0951462,-141.4314927453173,-45909.62089750879,-138.1139529117509,-45904.4928842909,-144.7298476735353,-45914.71775005202,-141.5982564424816,-45909.58446028368,-141.2093241379303,-45909.66944059834,-141.4331597995387,-45909.62053326354,170.0505214459531,-45381.76233471376,-141.4314927453173,-45909.62089750879,-138.1139529117509,-45904.4928842909,-144.7298476735353,-45914.71775005202,-141.5982564424816,-45909.58446028368,-141.2093241379303,-45909.66944059834,-141.4331597995387,-45909.62053326354,170.0505214459531,-45381.76233471376,LXCLA,0.0,0.04854308955691522,0.0,5.0968525432326715,0.0,0.0,0.0,0.04854308955691522,0.0,5.0968525432326715,0.0,0.0
LCVI0951609,-313.6108536294416,-63120.64789033612,-306.2787306610692,-63108.76705508473,-320.9129853492616,-63132.47283482643,-314.1199716695016,-63120.79421093592,-312.9323761300241,-63120.45289621101,-313.6159619046043,-63120.64935322373,189.1971276857547,-62183.78635239588,-313.6108536294416,-63120.64789033612,-306.2787306610692,-63108.76705508473,-320.9129853492616,-63132.47283482643,-314.1199716695016,-63120.79421093592,-312.9323761300241,-63120.45289621101,-313.6159619046043,-63120.64935322373,189.1971276857547,-62183.78635239588,LXCLA,0.14632059980067424,0.0,0.0,11.824944490312191,0.0,0.0014628876087954268,0.14632059980067424,0.0,0.0,11.824944490312191,0.0,0.0014628876087954268
LCVI0951632,-130.9825680729429,-40847.01021177382,-126.6120091816397,-40839.48715375023,-135.3350697117867,-40854.49784472147,-131.2120754173928,-40847.03357384435,-130.6766805611162,-40846.97907497614,-130.9848809552363,-40847.01044535436,182.2856979006532,-40257.32952877005,-130.9825680729429,-40847.01021177382,-126.6120091816397,-40839.48715375023,-135.3350697117867,-40854.49784472147,-131.2120754173928,-40847.03357384435,-130.6766805611162,-40846.97907497614,-130.9848809552363,-40847.01044535436,182.2856979006532,-40257.32952877005,LXCLA,0.023362070525763556,0.0,0.0,7.487632947646489,0.0,0.00023358054022537544,0.023362070525763556,0.0,0.0,7.487632947646489,0.0,0.00023358054022537544
LCVI0951861,171.5469432142786,-36909.79213650128,200.2807625980581,-36839.36429722251,142.3553109701302,-36980.99800880464,167.5957071216185,-36911.33532020503,176.8180299861524,-36907.73342990813,171.5267075353513,-36909.79976861089,889.5286579609815,-35411.17735867084,171.5469432142786,-36909.79213650128,200.2807625980581,-36839.36429722251,142.3553109701302,-36980.99800880464,167.5957071216185,-36911.33532020503,176.8180299861524,-36907.73342990813,171.5267075353513,-36909.79976861089,889.5286579609815,-35411.17735867084,LXCLA,1.543183703746763,0.0,0.0,71.20587230336241,0.0,0.007632109605765436,1.543183703746763,0.0,0.0,71.20587230336241,0.0,0.007632109605765436
LCVI0952150,1363.538436605421,-7515.732987504884,1357.645333971923,-7479.420968082756,1369.329698424012,-7552.673334023952,1359.552184834512,-7516.138840522357,1368.859925930208,-7515.191229601181,1363.524099061796,-7515.73447885873,1495.111969549258,-7164.824163840252,1363.538436605421,-7515.732987504884,1357.645333971923,-7479.420968082756,1369.329698424012,-7552.673334023952,1359.552184834512,-7516.138840522357,1368.859925930208,-7515.191229601181,1363.524099061796,-7515.73447885873,1495.111969549258,-7164.824163840252,LXCLA,0.40585301747341873,0.0,0.0,36.940346519068044,0.0,0.001491353846176935,0.40585301747341873,0.0,0.0,36.940346519068044,0.0,0.001491353846176935
LCVI0952366,-285.2923039604743,-63019.84104730727,-266.7382309163308,-62986.46881322128,-303.8759612617791,-63053.21515680556,-287.1110329406783,-63020.7536136489,-282.8675336536576,-63018.62436137242,-285.3089638023362,-63019.84929959203,555.0401250674081,-61425.47557105299,-285.2923039604743,-63019.84104730727,-266.7382309163308,-62986.46881322128,-303.8759612617791,-63053.21515680556,-287.1110329406783,-63020.7536136489,-282.8675336536576,-63018.62436137242,-285.3089638023362,-63019.84929959203,555.0401250674081,-61425.47557105299,LXCLA,0.9125663416270982,0.0,0.0,33.374109498290636,0.0,0.00825228475878248,0.9125663416270982,0.0,0.0,33.374109498290636,0.0,0.00825228475878248
LCVI0952533,-61.45773743095833,-61575.65257430852,-37.70397793176016,-61531.24533334014,-85.31101779491019,-61620.15380066588,-64.99791103786856,-61577.79032441439,-56.73736106882689,-61572.80209999374,-61.48702355474643,-61575.67005272008,766.0769484866881,-59868.85560086954,-61.45773743095833,-61575.65257430852,-37.70397793176016,-61531.24533334014,-85.31101779491019,-61620.15380066588,-64.99791103786856,-61577.79032441439,-56.73736106882689,-61572.80209999374,-61.48702355474643,-61575.67005272008,766.0769484866881,-59868.85560086954,LXCLA,2.1377501058668713,0.0,0.0,44.50122635735897,0.0,0.01747841155884089,2.1377501058668713,0.0,0.0,44.50122635735897,0.0,0.01747841155884089
LCVI0952608,0.06350955804282421,-84061.18081960324,35.09144699776607,-83998.00763955367,-35.12448868843694,-84124.50671531702,-4.219160061764342,-84064.1760789166,5.7738578619892,-84057.1870188571,0.02807542385153283,-84061.20539738279,1108.570350807433,-81680.45609433841,0.06350955804282421,-84061.18081960324,35.09144699776607,-83998.00763955367,-35.12448868843694,-84124.50671531702,-4.219160061764342,-84064.1760789166,5.7738578619892,-84057.1870188571,0.02807542385153283,-84061.20539738279,1108.570350807433,-81680.45609433841,LXCLA,2.995259313363931,0.0,0.0,63.32589571378776,0.0,0.024577779549872503,2.995259313363931,0.0,0.0,63.32589571378776,0.0,0.024577779549872503
LCVI0952808,468.5659110800592,-17428.13644038301,470.4448300683297,-17421.87240696441,466.6822952029181,-17434.39060834557,468.0808289716086,-17428.36737220356,469.2125518760147,-17427.828592896374,468.5606341033311,-17428.13874950509,531.3285367778697,-17149.323971227255,468.5659110800592,-17428.13644038301,470.4448300683297,-17421.87240696441,466.6822952029181,-17434.39060834557,468.0808289716086,-17428.36737220356,469.2125518760147,-17427.828592896374,468.5606341033311,-17428.13874950509,531.3285367778697,-17149.323971227255,LXCLA,0.23093182055163197,0.0,0.0,6.254167962561041,0.0,0.002309122082806425,0.23093182055163197,0.0,0.0,6.254167962561041,0.0,0.002309122082806425
