Policy,pvfp_central,pv_liab_central,pvfp_mgr_central,pv_liab_mgr_central,pvfp_mort,pv_liab_mort,pvfp_mgr_mort,pv_liab_mgr_mort,pvfp_long,pv_liab_long,pvfp_mgr_long,pv_liab_mgr_long,pvfp_lup,pv_liab_lup,pvfp_mgr_lup,pv_liab_mgr_lup,pvfp_ldw,pv_liab_ldw,pvfp_mgr_ldw,pv_liab_mgr_ldw,pvfp_lmass,pv_liab_lmass,pvfp_mgr_lmass,pv_liab_mgr_lmass,pvfp_cat,pv_liab_cat,pvfp_mgr_cat,pv_liab_mgr_cat
1198887,-6275.3548092697,-16312.806336054,-6337.66692745,-14970.275880403,-6197.6450640495,-16208.933732034,-6255.8476807331,-14921.788758217,-6385.9186800181,-16464.01696433,-6455.0602168753,-15033.643817959,-4315.3933656289,-14138.344185802,-4356.1528099807,-13159.262135979,-10507.413013331,-20857.765648936,-10604.702757228,-18963.606110412,-4174.619923444,-13873.187046066,-4214.7642491846,-13008.267324152,-6266.4517055107,-16302.54797296,-6328.6703227722,-14962.032018418
1198961,-1998.1437916903,-52935.623431492,-2008.8904260831,-51501.932489119,-1998.1437916903,-52935.623431492,-2008.8904260831,-51501.932489119,-1998.1437916903,-52935.623431492,-2008.8904260831,-51501.932489119,-1761.3456732065,-52586.604815383,-1770.891971981,-51285.982595972,-2278.1260694158,-53339.868748406,-2290.2302871739,-51757.99733796,-1341.3970307465,-51701.122083033,-1348.3328846717,-50775.821138876,-1998.1437916903,-52935.623431492,-2008.8904260831,-51501.932489119
1198962,501.59934893377,-204736.60261879,458.29881785968,-198959.9494889,501.59934893377,-204736.60261879,458.29881785968,-198959.9494889,501.59934893377,-204736.60261879,458.29881785968,-198959.9494889,551.41392020667,-204234.62721586,512.94980282665,-198994.1369592,428.78995799095,-205310.09486477,380.01942779468,-198936.39034857,268.74961526087,-202641.55325815,240.80354885201,-198913.31418153,501.59934893377,-204736.60261879,458.29881785968,-198959.9494889
1198963,-1998.2343214902,-52930.12586174,-2008.9797769228,-51496.592202525,-1998.2343214902,-52930.12586174,-2008.9797769228,-51496.592202525,-1998.2343214902,-52930.12586174,-2008.9797769228,-51496.592202525,-1761.4294312775,-52581.112785059,-1770.9746827746,-51280.633250494,-2278.2241021146,-53334.365049268,-2290.3269919787,-51752.667178129,-1341.4553432393,-51695.655678579,-1348.3904362662,-50770.456244622,-1998.2343214902,-52930.12586174,-2008.9797769228,-51496.592202525
1198964,501.59901425789,-204736.58229506,458.29848754224,-198959.92974662,501.59901425789,-204736.58229506,458.29848754224,-198959.92974662,501.59901425789,-204736.58229506,458.29848754224,-198959.92974662,551.41361056491,-204234.60691261,512.9494970565,-198994.11718343,428.78959557791,-205310.07451837,380.01907029068,-198936.37064372,268.74939968783,-202641.53304963,240.80333609187,-198913.29434827,501.59901425789,-204736.58229506,458.29848754224,-198959.92974662
1198965,-1998.2343214902,-52930.12586174,-2008.9797769228,-51496.592202525,-1998.2343214902,-52930.12586174,-2008.9797769228,-51496.592202525,-1998.2343214902,-52930.12586174,-2008.9797769228,-51496.592202525,-1761.4294312775,-52581.112785059,-1770.9746827746,-51280.633250494,-2278.2241021146,-53334.365049268,-2290.3269919787,-51752.667178129,-1341.4553432393,-51695.655678579,-1348.3904362662,-50770.456244622,-1998.2343214902,-52930.12586174,-2008.9797769228,-51496.592202525
1198966,501.59901425789,-204736.58229506,458.29848754224,-198959.92974662,501.59901425789,-204736.58229506,458.29848754224,-198959.92974662,501.59901425789,-204736.58229506,458.29848754224,-198959.92974662,551.41361056491,-204234.60691261,512.9494970565,-198994.11718343,428.78959557791,-205310.07451837,380.01907029068,-198936.37064372,268.74939968783,-202641.53304963,240.80333609187,-198913.29434827,501.59901425789,-204736.58229506,458.29848754224,-198959.92974662
1198994,-1239.0689901042,-73418.317724757,-2443.9872647774,-58793.540067848,-1313.3103601243,-73285.120447496,-2462.8387471315,-59000.3683331,-1122.6905323598,-73615.306083554,-2414.0917741796,-58481.854498461,-501.3739296637,-69634.060445366,-1216.292285485,-59574.618373466,-4496.1479576127,-81595.013043256,-6601.7845117395,-59399.939567852,-932.58150232206,-69210.761303629,-1710.9279725439,-59763.527988057,-1237.507212326,-73400.739361154,-2440.6179386311,-58797.900945721
1199000,-4977.4031553699,-25036.527243146,-5040.9809893197,-23375.909042844,-4849.4170805984,-24856.995798288,-4906.9644113683,-23298.854635439,-5163.9394230238,-25304.860662234,-5238.0227278209,-23473.0593712,-3579.4293042699,-23409.410812014,-3623.5060798755,-22135.746813463,-7667.2490298592,-28042.448357027,-7760.4559916999,-25830.786477866,-3318.1315709443,-22940.463020638,-3359.2012299239,-21867.746022515,-4970.4074795947,-25027.831139223,-5033.8898230244,-23369.707099004
1199054,-7445.2003319917,-7990.9537906804,-7450.94095235,-7897.7231142309,-7413.1878336579,-7958.1468593151,-7418.6823998473,-7867.0105981967,-7489.9293101068,-8036.8847013057,-7496.0553598376,-7940.5185630797,-4941.0902536793,-5472.6581608772,-4944.4019992735,-5410.8505004824,-13705.89139009,-14274.695608101,-13716.202974117,-14127.70572881,-4941.0203834557,-5468.1830591983,-4944.7319914459,-5407.9046045974,-7434.5719378284,-7980.2505215794,-7440.3039466588,-7887.1597008471
1199069,-13037.036430872,-40236.652256784,-13319.705106092,-35659.321816204,-12993.52115136,-40148.757433004,-13262.74839253,-35687.929491717,-13094.620517332,-40360.983866154,-13398.181781721,-35609.943047943,-8586.0812967133,-35087.131768389,-8748.8102195229,-32047.708678351,-24542.760963005,-52879.37772877,-25052.473724457,-45667.638284839,-8682.9416629659,-34963.899930693,-8865.7015822892,-32004.419042387,-13018.484105,-40214.401830302,-13300.728741532,-35643.937963079
1199089,-7464.1961946246,-103530.4816931,-7582.9642896904,-97238.828079254,-7165.7458109762,-102935.19734342,-7273.4902155254,-97057.109681633,-7917.8407429532,-104465.40500552,-8056.2918510745,-97490.380285341,-5722.328180091,-100950.19731135,-5811.8192569394,-95805.098537144,-10311.697017469,-107458.79125737,-10470.879320281,-99680.353589633,-4987.8926651499,-99094.857280646,-5064.6754901809,-95027.342866779,-7453.866696021,-103512.55819425,-7572.4561383837,-97230.368577658
1199165,32194.902332632,-881495.43426701,28691.923178333,-787915.55570614,30661.431941196,-879307.49788314,27468.765683785,-790755.68907769,34657.446966887,-884961.60234386,30619.612804848,-783117.53408831,26487.795956357,-871844.11483853,23971.400122207,-797808.07915272,39345.095877899,-895057.49275743,34408.527323137,-774901.36472742,20690.915301181,-863744.90596625,18426.464597008,-803251.53373381,32148.711374268,-881424.30924849,28650.994164403,-787985.00021416
1199185,-1165.4030533515,-194899.38303294,-2183.2841139631,-173742.43679056,-1285.7301079635,-194237.55951099,-2216.5344336779,-174159.76446892,-944.89032917184,-195919.14601864,-2111.7623775731,-172995.27070798,-160.78411394484,-190293.92065585,-881.95060719708,-173730.5265253,-3869.2150303395,-202522.41611361,-5324.9869647918,-175023.53678016,-963.5855551102,-188122.77478962,-1621.5801885171,-174446.16990377,-1164.033886519,-194871.55889915,-2180.386358303,-173746.38480864
1199187,-1003.3768541478,-52303.632000905,-1134.5057639204,-47752.627622605,-1003.3768541478,-52303.632000905,-1134.5057639204,-47752.627622605,-1003.3768541478,-52303.632000905,-1134.5057639204,-47752.627622605,-583.76669388677,-51212.168432879,-681.52979048022,-47567.783818864,-1819.9513167854,-54000.744478549,-1996.7360353561,-48264.556134519,-704.87278811509,-50652.826573202,-789.6391937922,-47710.894972929,-1003.3768541478,-52303.632000905,-1134.5057639204,-47752.627622605
1199188,10646.756623432,-324822.83428994,9789.2606598647,-295062.28879819,10646.756623432,-324822.83428994,9789.2606598647,-295062.28879819,10646.756623432,-324822.83428994,9789.2606598647,-295062.28879819,8933.6000293775,-322142.51589616,8294.2943197504,-298310.66141323,12625.579751642,-328602.14485585,11469.525126787,-291091.28352254,6819.5230901079,-319806.91522503,6265.2071056287,-300568.63682631,10646.756623432,-324822.83428994,9789.2606598647,-295062.28879819
1199205,-1225.0741724419,-38080.260214487,-1584.585414966,-32131.992004563,-1248.4177764938,-38053.261627282,-1591.614654767,-32249.210583628,-1187.7343186893,-38119.415984195,-1573.0320216351,-31954.13485439,-687.88814439052,-36684.228706687,-895.15967826479,-32753.666970637,-3152.7833482227,-41399.141643999,-3798.3744169887,-31994.474891041,-860.12585960817,-36574.339894434,-1092.5058962099,-32729.512192705,-1223.3984899442,-38074.018074387,-1582.370423749,-32134.672959294
1199206,1082.4305789885,-69826.393164117,390.73635444387,-58382.014574003,1021.1542751906,-69790.811848946,360.84864214098,-58623.904918103,1177.2169143098,-69878.783258047,435.90992767184,-58016.875073368,962.94780147901,-68293.47015329,564.16048710528,-60731.128478091,225.57570014593,-73359.84253969,-1016.5318082255,-55265.405127615,630.60586766349,-68083.004890668,183.51017160564,-60685.614208297,1080.7450161816,-69819.292931164,390.08841350301,-58392.082241327
1199219,-4979.1729973074,-47278.044911242,-5289.328634795,-40659.285382008,-4969.8417697438,-47182.463115852,-5263.4148865013,-40770.096322644,-4986.8007490111,-47418.382490225,-5323.9207446336,-40481.572886325,-3227.0611293999,-44453.353216749,-3415.7814292794,-39891.219616136,-9499.5118415351,-53463.53678901,-10024.005176555,-43493.376404896,-3350.1148840427,-44154.757660026,-3550.5925600274,-39876.539346565,-4972.1388965487,-47264.984684031,-5281.8292282082,-40656.154838516
1199220,200285.73150607,-3446188.0425316,171701.8502044,-2877448.489549,195947.26809501,-3443091.072813,168895.7677014,-2892041.2455468,206962.41094155,-3450951.9259961,175886.43815839,-2854961.6835662,147469.99761106,-3406539.5089122,130072.16576611,-3014378.8024662,280985.64420378,-3509036.5648588,232664.97714182,-2652640.9162636,129251.63601875,-3388408.5995627,110775.65363648,-3020788.0567083,199994.39093998,-3445959.8866887,171453.39213004,-2878073.5757455
1200742,2939.0691977548,-66369.290229234,1849.4469546683,-52313.414367874,2939.0691977548,-66369.290229234,1849.4469546683,-52313.414367874,2939.0691977548,-66369.290229234,1849.4469546683,-52313.414367874,2047.6393760493,-65065.57892155,1479.7038584953,-56360.648950136,3633.0982679402,-69624.483134454,1445.5719502343,-45565.772006751,1851.4444801953,-64944.130909239,1147.1370016508,-55858.726724935,2939.0691977548,-66369.290229234,1849.4469546683,-52313.414367874
1200743,3836.0607349672,-76737.693802319,2569.3310665886,-60397.172964383,3836.0607349672,-76737.693802319,2569.3310665886,-60397.172964383,3836.0607349672,-76737.693802319,2569.3310665886,-60397.172964383,2653.0126915462,-75368.802022082,1992.7648172245,-65248.970928404,5055.2681733799,-80109.615697948,2512.1808744754,-52140.396675687,2430.9831466082,-75221.558914708,1612.1973844838,-64659.411250697,3836.0607349672,-76737.693802319,2569.3310665886,-60397.172964383
1200744,3907.0718036017,-77558.516950827,2626.3212810551,-61037.130324858,3907.0718036017,-77558.516950827,2626.3212810551,-61037.130324858,3907.0718036017,-77558.516950827,2626.3212810551,-61037.130324858,2700.937565163,-76184.465105174,2033.3817076215,-65952.622206996,5167.8554170445,-80939.679792447,2596.6198422731,-52660.882214562,2476.8627991019,-76035.179908003,1649.0142700335,-65356.124638689,3907.0718036017,-77558.516950827,2626.3212810551,-61037.130324858
1200746,2938.5928455855,-66363.784032877,1849.0646563476,-52309.121444492,2938.5928455855,-66363.784032877,1849.0646563476,-52309.121444492,2938.5928455855,-66363.784032877,1849.0646563476,-52309.121444492,2047.3178893015,-65060.107339633,1479.4313947199,-56355.928759052,3632.3430169802,-69618.914948541,1445.0055218414,-45562.280517039,1851.1367130766,-64938.673025946,1146.8900288389,-55854.053074191,2938.5928455855,-66363.784032877,1849.0646563476,-52309.121444492
1200747,3765.5845645785,-75923.053589384,2512.7701368282,-59762.036149159,3765.5845645785,-75923.053589384,2512.7701368282,-59762.036149159,3765.5845645785,-75923.053589384,2512.7701368282,-59762.036149159,2605.4488170148,-74559.283005836,1952.4538777705,-64550.619976113,4943.5290048156,-79285.804147408,2428.3779519678,-51623.831748163,2385.4490873596,-74414.066606005,1575.6578259463,-63967.945928625,3765.5845645785,-75923.053589384,2512.7701368282,-59762.036149159
1200748,3967.9490786012,-78262.202693042,2675.1785792915,-61585.761136514,3967.9490786012,-78262.202693042,2675.1785792915,-61585.761136514,3967.9490786012,-78262.202693042,2675.1785792915,-61585.761136514,2742.0232123246,-76883.727160668,2068.2022736806,-66555.857353491,5264.3756458736,-81651.287730753,2669.0087580032,-53107.090698572,2516.1950930025,-76732.6912947,1680.5771194501,-65953.411981804,3967.9490786012,-78262.202693042,2675.1785792915,-61585.761136514
1200750,9275.5335539651,-204405.681086,5916.1724851648,-161070.69737386,9275.5335539651,-204405.681086,5916.1724851648,-161070.69737386,9275.5335539651,-204405.681086,5916.1724851648,-161070.69737386,6452.2390753457,-200461.24326347,4701.2648460978,-173623.49923048,11625.966030635,-214230.90181429,4881.7105831135,-140056.66570565,5850.4540064688,-200083.71901093,3679.0380511692,-172072.9535326,9275.5335539651,-204405.681086,5916.1724851648,-161070.69737386
1200752,22892.803671164,-361808.89648044,16844.766567069,-283790.61144685,22892.803671164,-361808.89648044,16844.766567069,-283790.61144685,22892.803671164,-361808.89648044,16844.766567069,-283790.61144685,15642.43944723,-356874.95088186,12490.067049646,-308557.52730712,33215.993306822,-373406.1854245,21073.950117439,-239866.34765018,14648.457372734,-356105.83009513,10739.141286397,-305676.55337927,22892.803671164,-361808.89648044,16844.766567069,-283790.61144685
1200754,23529.217265842,-369165.25684203,17355.522818842,-289526.02103935,23529.217265842,-369165.25684203,17355.522818842,-289526.02103935,23529.217265842,-369165.25684203,17355.522818842,-289526.02103935,16071.950531621,-364185.0658363,12854.082712546,-314863.77291389,34225.01984076,-380845.3647574,21830.706888748,-244531.02991934,15059.638828351,-363397.6434843,11069.100642425,-311920.62039921,23529.217265842,-369165.25684203,17355.522818842,-289526.02103935
1200756,3217.702414223,-85788.192464374,1818.4079621923,-67737.616463354,3217.702414223,-85788.192464374,1818.4079621923,-67737.616463354,3217.702414223,-85788.192464374,1818.4079621923,-67737.616463354,2267.7280302407,-83919.163452208,1538.3844216032,-72740.279860577,3561.4870794915,-90516.004341012,752.26263546179,-59619.772901533,2007.7353961544,-83771.238606689,1103.262719037,-72103.749483539,3217.702414223,-85788.192464374,1818.4079621923,-67737.616463354
1200757,20252.471133294,-282694.57287728,15489.729086587,-221256.29792194,20252.471133294,-282694.57287728,15489.729086587,-221256.29792194,20252.471133294,-282694.57287728,15489.729086587,-221256.29792194,13764.374308796,-279587.70133386,11281.926482097,-241538.42668702,30569.919615744,-289639.18532777,21008.235612208,-184478.48784336,13013.755783798,-278949.90176795,9935.2257123367,-239237.57321145,20252.471133294,-282694.57287728,15489.729086587,-221256.29792194
1200759,11130.308561462,-207141.15029312,8942.3380226325,-171754.41519185,10887.21754757,-207061.5695894,8804.3904318364,-172588.76792836,11496.266027506,-207260.44933319,9144.8378537122,-170511.30733993,8118.4681520772,-205004.37193543,6869.7219510142,-181702.75130144,15036.617691436,-211651.36094255,11056.358640697,-155395.50477268,7122.0284855161,-204365.1276573,5707.7732029079,-181491.9325374,11113.983608557,-207130.31543862,8929.2952997553,-171796.66487504
